"TCNumber","ChEBI","Substrate"
"2.A.3.2.11","CHEBI:2643","arginine"
"1.A.17.1.2","CHEBI:3731","chloride"
"2.A.16.6.1","CHEBI:22563","anion"
"2.A.29.23.8","CHEBI:6635","magnesium(2+)"
"2.A.29.23.8","CHEBI:7793","phosphate(3-)"
"2.A.29.23.8","CHEBI:2359","ATP"
"2.A.1.8.11","CHEBI:7585","nitrite"
"2.A.1.8.11","CHEBI:71263","nitrate"
"2.A.6.3.10","CHEBI:4883","ethidium bromide"
"2.A.6.3.10","CHEBI:8984","sodium dodecyl sulfate"
"2.A.6.3.10","CHEBI:23614","deoxycholate"
"2.A.6.3.10","CHEBI:2683","ampicillin"
"2.A.6.3.10","CHEBI:29697","triclosan"
"2.A.6.3.10","CHEBI:36420","acridine"
"2.A.6.3.10","CHEBI:3565","Cetrimide"
"1.A.51.1.3","CHEBI:5584","hydron"
"8.A.183.1.5","CHEBI:14911","protein"
"1.A.9.6.4","CHEBI:24870","ion"
"1.E.2.4.1","CHEBI:25367","molecule"
"1.A.8.8.29","CHEBI:5585","water"
"1.A.8.8.29","CHEBI:5448","glycerol"
"2.A.127.1.1","CHEBI:3411","cardiolipin"
"1.A.53.1.5","CHEBI:3473","cation"
"1.E.2.1.14","CHEBI:14911","protein"
"2.A.71.2.2","CHEBI:5140","folic acid"
"2.A.71.2.2","CHEBI:22526","4-aminofolic acid"
"2.A.71.2.2","CHEBI:6837","methotrexate"
"2.A.71.2.2","CHEBI:3107","biopterin"
"1.C.108.2.2","CHEBI:36914","inorganic ion"
"1.B.45.1.2","CHEBI:25367","molecule"
"3.A.1.5.11","CHEBI:5437","glutathione"
"1.A.46.2.4","CHEBI:22563","anion"
"2.A.21.3.10","CHEBI:45744","N-acetyl-beta-neuraminic acid"
"2.A.66.4.7","CHEBI:61082","lipid-linked peptidoglycan"
"1.B.14.2.10","CHEBI:5651","ferroheme b"
"1.A.54.2.1","CHEBI:3308","calcium(2+)"
"1.B.2.2.1","CHEBI:23688","dicarboxylic acid dianion"
"4.A.2.1.3","CHEBI:15847","2-(alpha-D-mannosyl)-D-glyceric acid"
"1.A.24.1.13","CHEBI:25367","molecule"
"4.C.1.1.4","CHEBI:4984","fatty acid"
"1.B.10.2.6","CHEBI:7647","nucleoside"
"1.B.9.3.1","CHEBI:20141","3-methylsalicylic acid"
"1.A.12.3.2","CHEBI:5437","glutathione"
"9.B.97.1.7","CHEBI:18154","polysaccharide"
"2.A.53.1.12","CHEBI:9335","sulfate"
"1.A.95.1.1","CHEBI:25367","molecule"
"1.A.29.1.4","CHEBI:9888","urea"
"3.A.1.2.5","CHEBI:5182","fucose"
"3.A.1.2.5","CHEBI:10085","xylose"
"3.A.1.2.5","CHEBI:22599","arabinose"
"3.A.1.2.5","CHEBI:5418","glucose"
"3.A.1.2.5","CHEBI:5256","galactose"
"1.A.3.1.5","CHEBI:3308","calcium(2+)"
"2.A.66.1.3","CHEBI:23614","deoxycholate"
"2.A.66.1.3","CHEBI:4796","enoxacin"
"2.A.66.1.3","CHEBI:7629","norfloxacin"
"2.A.66.1.3","CHEBI:9731","trimethoprim"
"2.A.66.1.3","CHEBI:28915","fosfomycin"
"2.A.66.1.3","CHEBI:3603","chloramphenicol"
"2.A.66.1.3","CHEBI:2496","doxorubicin"
"2.A.66.1.3","CHEBI:42478","ethidium"
"3.A.1.205.17","CHEBI:68487","strigolactone"
"3.A.1.205.17","CHEBI:26158","plant hormone"
"3.A.1.205.17","CHEBI:23888","drug"
"3.A.1.15.15","CHEBI:29035","manganese(2+)"
"3.A.1.5.33","CHEBI:25517","nickel(2+)"
"2.A.23.1.4","CHEBI:5584","hydron"
"2.A.23.1.4","CHEBI:4052","cystine"
"2.A.23.1.4","CHEBI:9095","selenocystine"
"2.A.1.19.2","CHEBI:3424","carnitinium"
"2.A.1.19.2","CHEBI:7669","O-acetylcarnitinium"
"2.A.1.19.2","CHEBI:2416","acetylcholine"
"2.A.1.19.2","CHEBI:4828","ergothioneine"
"2.A.1.19.2","CHEBI:45791","triethylammonium ion"
"2.A.1.19.2","CHEBI:5816","hydroxyurea"
"1.B.38.4.2","CHEBI:17593","maltooligosaccharide"
"2.A.1.19.26","CHEBI:22563","anion"
"2.A.1.19.26","CHEBI:62501","folate(2-)"
"2.A.1.19.26","CHEBI:59134","p-aminohippuric acid"
"2.A.1.19.26","CHEBI:5198","furosemide"
"2.A.1.19.26","CHEBI:8426","probenecid"
"2.A.1.19.26","CHEBI:5918","indometacin"
"2.A.1.19.26","CHEBI:7962","benzylpenicillin"
"2.A.106.2.2","CHEBI:3308","calcium(2+)"
"2.A.106.2.2","CHEBI:25155","manganese cation"
"2.A.106.2.2","CHEBI:24636","proton"
"2.A.57.2.8","CHEBI:5564","guanosine"
"2.A.57.2.8","CHEBI:5927","inosine"
"1.A.4.1.8","CHEBI:3308","calcium(2+)"
"1.C.41.1.3","CHEBI:69437","orobol"
"1.A.57.1.3","CHEBI:25367","molecule"
"2.A.1.8.15","CHEBI:71263","nitrate"
"1.C.97.3.2","CHEBI:25367","molecule"
"2.A.15.1.8","CHEBI:9175","sodium(1+)"
"2.A.15.1.8","CHEBI:49432","5-hydroxyectoine"
"2.A.15.1.8","CHEBI:4756","ectoine"
"9.A.53.1.1","CHEBI:4291","deoxyribonucleic acid"
"2.A.16.4.5","CHEBI:22563","anion"
"1.C.72.4.2","CHEBI:27026","toxin"
"1.B.25.1.1","CHEBI:25094","lysine"
"1.B.25.1.1","CHEBI:7784","ornithine"
"1.B.25.1.1","CHEBI:2643","arginine"
"1.B.25.1.1","CHEBI:5733","histidine"
"1.B.25.1.1","CHEBI:35996","penems"
"1.B.25.1.1","CHEBI:43968","meropenem"
"1.B.25.1.1","CHEBI:5879","imipenem"
"1.B.25.1.1","CHEBI:29470","2-(Biaryl)carbapenems"
"1.B.28.1.3","CHEBI:25367","molecule"
"1.B.57.1.2","CHEBI:25367","molecule"
"2.A.4.7.3","CHEBI:34754","iron(2+)"
"2.A.38.4.3","CHEBI:8345","potassium(1+)"
"3.A.1.122.4","CHEBI:5651","ferroheme b"
"3.A.3.2.37","CHEBI:3308","calcium(2+)"
"2.A.6.3.7","CHEBI:23380","copper(2+)"
"1.A.17.1.27","CHEBI:24870","ion"
"2.A.1.2.24","CHEBI:3603","chloramphenicol"
"2.A.1.2.24","CHEBI:87211","fluoroquinolone antibiotic"
"1.A.22.1.2","CHEBI:24870","ion"
"1.B.40.4.1","CHEBI:8526","protein polypeptide chain"
"1.B.16.1.4","CHEBI:25367","molecule"
"2.A.3.10.25","CHEBI:2643","arginine"
"3.A.5.9.1","CHEBI:8526","protein polypeptide chain"
"1.B.80.1.1","CHEBI:10545","electron"
"2.A.109.1.5","CHEBI:30452","tellurium atom"
"1.C.32.1.3","CHEBI:25367","molecule"
"1.C.129.1.2","CHEBI:24870","ion"
"2.A.5.3.7","CHEBI:10113","zinc(2+)"
"2.A.1.25.4","CHEBI:7990","peptide"
"2.A.1.25.4","CHEBI:2408","acetyl-CoA"
"1.C.32.3.1","CHEBI:25367","molecule"
"9.B.27.1.1","CHEBI:9090","selenite(2-)"
"3.A.23.2.1","CHEBI:8526","protein polypeptide chain"
"3.A.23.2.1","CHEBI:4291","deoxyribonucleic acid"
"4.A.1.1.1","CHEBI:4167","D-glucopyranose"
"3.A.3.2.34","CHEBI:3308","calcium(2+)"
"3.D.2.2.2","CHEBI:5584","hydron"
"2.A.123.2.2","CHEBI:9840","UDP-sugar"
"5.A.3.9.1","CHEBI:10545","electron"
"1.C.12.1.13","CHEBI:25367","molecule"
"1.A.122.1.1","CHEBI:14911","protein"
"3.A.1.2.28","CHEBI:8843","riboflavin"
"2.A.18.2.1","CHEBI:2642","alpha-amino acid"
"2.A.33.1.1","CHEBI:9175","sodium(1+)"
"2.A.33.1.1","CHEBI:24636","proton"
"1.C.83.1.1","CHEBI:25367","molecule"
"1.C.22.1.3","CHEBI:5585","water"
"1.C.22.1.3","CHEBI:25367","molecule"
"1.C.22.1.3","CHEBI:53369","polyelectrolyte macromolecule"
"1.B.3.1.3","CHEBI:9002","salicin"
"1.B.3.1.3","CHEBI:2806","hydroquinone O-beta-D-glucopyranoside"
"1.B.3.1.3","CHEBI:3522","cellobiose"
"1.B.3.1.3","CHEBI:5318","gentiobiose"
"1.B.21.1.2","CHEBI:25367","molecule"
"2.A.7.3.1","CHEBI:13704","acetate"
"1.E.14.1.16","CHEBI:2387","acetic acid"
"2.A.45.1.2","CHEBI:2844","arsenate(3-)"
"2.A.45.1.2","CHEBI:2846","arsenite(3-)"
"2.A.55.2.6","CHEBI:29035","manganese(2+)"
"2.A.3.10.4","CHEBI:2643","arginine"
"9.A.8.1.14","CHEBI:34754","iron(2+)"
"2.A.19.7.1","CHEBI:9175","sodium(1+)"
"2.A.19.7.1","CHEBI:8345","potassium(1+)"
"2.A.19.7.1","CHEBI:5584","hydron"
"1.A.27.1.4","CHEBI:22563","anion"
"1.C.24.1.3","CHEBI:5585","water"
"1.C.24.1.3","CHEBI:25367","molecule"
"1.C.24.1.3","CHEBI:53369","polyelectrolyte macromolecule"
"1.A.5.3.4","CHEBI:3473","cation"
"2.A.4.5.2","CHEBI:23337","cobalt(2+)"
"2.A.4.5.2","CHEBI:10113","zinc(2+)"
"3.A.1.14.12","CHEBI:4356","desferrioxamine B"
"4.A.3.2.10","CHEBI:28808","mannan"
"4.A.3.2.10","CHEBI:24255","glucan"
"4.A.3.2.10","CHEBI:24263","glucomannan"
"4.A.3.2.10","CHEBI:24268","glucooligosaccharide"
"4.A.3.2.10","CHEBI:25174","mannooligosaccharide"
"4.A.3.2.10","CHEBI:3522","cellobiose"
"4.A.3.2.10","CHEBI:6687","beta-mannobiose"
"1.A.4.5.2","CHEBI:3308","calcium(2+)"
"1.B.1.1.26","CHEBI:25367","molecule"
"9.B.20.3.2","CHEBI:6635","magnesium(2+)"
"3.A.1.203.15","CHEBI:15904","long-chain fatty acid"
"1.A.1.11.29","CHEBI:3308","calcium(2+)"
"2.A.56.1.18","CHEBI:16810","2-oxoglutarate(2-)"
"2.A.56.1.18","CHEBI:15589","(S)-malate(2-)"
"2.A.56.1.18","CHEBI:30031","succinate(2-)"
"2.A.56.1.18","CHEBI:29806","fumarate(2-)"
"1.A.65.1.3","CHEBI:25367","molecule"
"2.A.7.14.2","CHEBI:8639","7H-purine"
"2.A.7.5.3","CHEBI:5584","hydron"
"2.A.7.5.3","CHEBI:5418","glucose"
"1.A.64.1.1","CHEBI:24870","ion"
"2.A.68.1.4","CHEBI:60903","N-(4-aminobenzoyl)-L-glutamate"
"2.A.53.4.1","CHEBI:9335","sulfate"
"1.A.1.22.1","CHEBI:8345","potassium(1+)"
"2.A.1.25.3","CHEBI:8005","peptidoglycan"
"1.B.38.1.5","CHEBI:25367","molecule"
"2.A.6.1.17","CHEBI:10113","zinc(2+)"
"2.A.69.3.6","CHEBI:38083","malonate ester"
"9.A.24.1.7","CHEBI:3659","cholesterol"
"9.A.24.1.7","CHEBI:8337","porphyrin"
"1.A.11.2.10","CHEBI:7435","ammonium"
"1.A.1.8.2","CHEBI:30143","lithium(1+)"
"1.A.1.8.2","CHEBI:9175","sodium(1+)"
"1.A.1.8.2","CHEBI:8345","potassium(1+)"
"1.A.1.8.2","CHEBI:49847","rubidium(1+)"
"1.A.1.8.2","CHEBI:33126","caesium(1+)"
"1.A.1.8.2","CHEBI:7435","ammonium"
"2.A.1.49.1","CHEBI:37550","sphingosine 1-phosphate"
"1.B.3.2.2","CHEBI:25367","molecule"
"1.B.4.1.2","CHEBI:25367","molecule"
"1.E.1.1.6","CHEBI:25367","molecule"
"2.A.1.14.41","CHEBI:24175","galacturonate"
"2.A.1.14.41","CHEBI:15748","D-glucuronate"
"1.A.43.2.5","CHEBI:17051","fluoride"
"2.A.9.2.1","CHEBI:8526","protein polypeptide chain"
"2.A.9.2.1","CHEBI:14911","protein"
"1.B.1.2.3","CHEBI:25367","molecule"
"1.B.34.1.3","CHEBI:25367","molecule"
"1.A.48.1.5","CHEBI:22563","anion"
"1.C.30.1.2","CHEBI:5585","water"
"1.C.30.1.2","CHEBI:25367","molecule"
"1.C.30.1.2","CHEBI:53369","polyelectrolyte macromolecule"
"2.A.18.7.3","CHEBI:2642","alpha-amino acid"
"9.A.14.1.2","CHEBI:5584","hydron"
"9.A.14.1.2","CHEBI:8814","all-trans-retinal"
"3.A.1.1.35","CHEBI:5448","glycerol"
"2.A.123.1.12","CHEBI:9840","UDP-sugar"
"1.C.91.1.1","CHEBI:69437","orobol"
"1.B.70.1.4","CHEBI:25367","molecule"
"1.C.111.1.7","CHEBI:25367","molecule"
"5.B.1.1.3","CHEBI:10545","electron"
"1.H.1.7.1","CHEBI:3308","calcium(2+)"
"3.A.1.134.11","CHEBI:29570","daptomycin"
"3.A.1.134.11","CHEBI:2970","bacitracin"
"3.A.1.134.11","CHEBI:135075","alphaprodine"
"1.A.11.4.1","CHEBI:7435","ammonium"
"1.A.11.4.1","CHEBI:7434","ammonia"
"1.A.11.4.1","CHEBI:3283","carbon dioxide"
"2.A.1.13.10","CHEBI:30661","thyronine"
"2.A.1.13.10","CHEBI:60311","thyroid hormone"
"1.A.9.5.8","CHEBI:23058","cation"
"2.A.63.1.3","CHEBI:9175","sodium(1+)"
"2.A.63.1.3","CHEBI:5584","hydron"
"9.B.155.1.1","CHEBI:25367","molecule"
"1.B.71.1.5","CHEBI:25367","molecule"
"2.A.57.2.1","CHEBI:5584","hydron"
"2.A.57.2.1","CHEBI:4072","cytosine"
"2.A.57.2.1","CHEBI:2472","adenosine"
"2.A.57.2.1","CHEBI:9893","uridine"
"2.A.57.2.1","CHEBI:88246","2'-deoxytubercidin"
"4.A.4.1.1","CHEBI:30911","glucitol"
"2.A.5.5.10","CHEBI:29033","iron(2+)"
"2.A.5.5.10","CHEBI:49972","zinc(2+)"
"2.A.100.1.3","CHEBI:23337","cobalt(2+)"
"2.A.100.1.3","CHEBI:34754","iron(2+)"
"2.A.100.1.3","CHEBI:25517","nickel(2+)"
"3.A.1.201.46","CHEBI:5870","imidacloprid"
"1.C.33.1.11","CHEBI:25367","molecule"
"2.A.1.14.11","CHEBI:32544","nicotinate"
"2.A.40.3.1","CHEBI:10059","9H-xanthine"
"1.A.46.2.5","CHEBI:22563","anion"
"1.A.1.11.4","CHEBI:3308","calcium(2+)"
"1.A.1.11.4","CHEBI:39124","calcium ion"
"1.A.9.1.16","CHEBI:23058","cation"
"3.A.1.119.3","CHEBI:61152","desferriexochelin 772MS"
"3.A.1.210.5","CHEBI:23888","drug"
"2.A.1.3.20","CHEBI:6528","long-chain fatty acid"
"2.A.1.3.20","CHEBI:15904","long-chain fatty acid"
"2.A.36.7.7","CHEBI:9175","sodium(1+)"
"2.A.36.7.7","CHEBI:5584","hydron"
"2.A.1.16.7","CHEBI:28163","iron(III) hydroxamate"
"2.A.1.16.7","CHEBI:84688","Fe(III)-complexed hydroxamate siderophore"
"4.A.6.1.22","CHEBI:14575","mannose"
"9.A.62.1.1","CHEBI:36080","protein"
"9.A.25.1.1","CHEBI:14911","protein"
"2.A.6.2.1","CHEBI:8829","rhodamine 6G"
"2.A.6.2.1","CHEBI:383703","3,6-diamino-10-methylacridinium chloride"
"2.A.6.2.1","CHEBI:23614","deoxycholate"
"2.A.6.2.1","CHEBI:2496","doxorubicin"
"2.A.6.2.1","CHEBI:42478","ethidium"
"1.B.25.1.28","CHEBI:25367","molecule"
"3.A.1.25.4","CHEBI:3108","biotin"
"2.A.57.1.8","CHEBI:7647","nucleoside"
"3.A.1.7.2","CHEBI:7793","phosphate(3-)"
"1.B.25.1.15","CHEBI:25367","molecule"
"1.B.16.1.11","CHEBI:25367","molecule"
"3.A.3.6.23","CHEBI:3290","cadmium(2+)"
"3.A.3.6.23","CHEBI:49807","lead(2+)"
"3.A.3.6.23","CHEBI:10113","zinc(2+)"
"3.A.1.204.1","CHEBI:1547","3-hydroxykynurenine"
"3.A.1.204.1","CHEBI:5563","guanine"
"2.A.85.1.2","CHEBI:17879","4-hydroxybenzoate"
"2.A.29.3.2","CHEBI:3731","chloride"
"2.A.29.3.2","CHEBI:5584","hydron"
"2.A.29.3.2","CHEBI:4984","fatty acid"
"9.B.163.1.5","CHEBI:25367","molecule"
"5.A.3.4.3","CHEBI:10545","electron"
"2.A.22.1.5","CHEBI:571","octopamine"
"2.A.22.1.5","CHEBI:9799","tyramine"
"2.A.22.1.5","CHEBI:1764","dopamine"
"1.C.32.2.2","CHEBI:3731","chloride"
"1.C.32.2.2","CHEBI:8345","potassium(1+)"
"2.A.1.1.71","CHEBI:5418","glucose"
"1.A.64.5.1","CHEBI:24870","ion"
"2.A.49.2.14","CHEBI:5113","fluoride"
"2.A.49.2.14","CHEBI:13970","chloride"
"2.A.49.2.14","CHEBI:22563","anion"
"3.A.1.105.25","CHEBI:39185","thiamethoxam"
"3.A.1.105.25","CHEBI:39214","abamectin"
"3.A.1.105.25","CHEBI:24852","insecticide"
"1.B.14.2.8","CHEBI:5656","deoxyhemoglobin"
"1.B.14.2.8","CHEBI:24493","hemin"
"2.A.2.6.2","CHEBI:17593","maltooligosaccharide"
"2.A.2.6.2","CHEBI:6668","maltose"
"3.A.1.1.4","CHEBI:6353","alpha-lactose"
"5.A.1.3.1","CHEBI:10545","electron"
"2.A.5.1.13","CHEBI:48773","cadmium(2+)"
"2.A.5.1.13","CHEBI:29033","iron(2+)"
"2.A.20.2.3","CHEBI:9175","sodium(1+)"
"2.A.20.2.3","CHEBI:7793","phosphate(3-)"
"9.B.104.1.11","CHEBI:14911","protein"
"2.A.2.6.1","CHEBI:5584","hydron"
"2.A.2.6.1","CHEBI:6668","maltose"
"2.A.2.6.1","CHEBI:9314","sucrose"
"9.B.153.3.12","CHEBI:25367","molecule"
"1.A.9.10.1","CHEBI:24870","ion"
"1.C.40.1.7","CHEBI:25367","molecule"
"2.A.1.3.82","CHEBI:23888","drug"
"1.A.110.1.6","CHEBI:24636","proton"
"2.A.3.6.1","CHEBI:2642","alpha-amino acid"
"1.B.27.2.3","CHEBI:25367","molecule"
"1.B.19.1.1","CHEBI:3473","cation"
"1.B.19.1.1","CHEBI:5448","glycerol"
"1.B.19.1.1","CHEBI:6686","D-mannitol"
"1.B.19.1.1","CHEBI:6668","maltose"
"1.B.19.1.1","CHEBI:5418","glucose"
"1.B.19.1.1","CHEBI:5172","fructose"
"1.B.19.1.1","CHEBI:25901","pentose"
"1.A.5.2.3","CHEBI:3473","cation"
"1.W.7.1.1","CHEBI:4291","deoxyribonucleic acid"
"8.A.159.3.2","CHEBI:14911","protein"
"1.C.53.1.4","CHEBI:24870","ion"
"1.A.17.7.5","CHEBI:3731","chloride"
"2.A.1.53.9","CHEBI:2642","alpha-amino acid"
"1.B.65.1.7","CHEBI:25367","molecule"
"1.W.1.1.2","CHEBI:4291","deoxyribonucleic acid"
"2.A.8.1.3","CHEBI:5584","hydron"
"2.A.8.1.3","CHEBI:18391","D-gluconate"
"2.A.8.1.3","CHEBI:4126","D-fructofuranuronic acid"
"1.B.25.1.13","CHEBI:29470","2-(Biaryl)carbapenems"
"3.A.2.2.3","CHEBI:5584","hydron"
"3.A.1.14.16","CHEBI:5651","ferroheme b"
"1.B.7.1.7","CHEBI:25367","molecule"
"1.B.2.1.2","CHEBI:25367","molecule"
"2.A.3.10.14","CHEBI:2642","alpha-amino acid"
"1.R.1.1.1","CHEBI:25054","lipid"
"1.A.8.15.1","CHEBI:2846","arsenite(3-)"
"1.A.8.12.10","CHEBI:2846","arsenite(3-)"
"1.G.12.2.1","CHEBI:25367","molecule"
"2.A.51.1.9","CHEBI:29393","chromate(2-)"
"2.A.6.2.16","CHEBI:3603","chloramphenicol"
"2.A.6.2.16","CHEBI:15368","acrolein"
"2.A.6.2.16","CHEBI:87211","fluoroquinolone antibiotic"
"1.A.16.2.7","CHEBI:24996","lactate"
"1.A.4.6.7","CHEBI:3473","cation"
"3.A.3.3.8","CHEBI:5584","hydron"
"2.A.6.5.2","CHEBI:6030","isoniazide"
"1.B.17.3.11","CHEBI:72663","9,10-DiHOME"
"1.B.17.3.11","CHEBI:23888","drug"
"1.G.11.1.1","CHEBI:25367","molecule"
"1.A.14.3.3","CHEBI:3473","cation"
"1.B.8.1.17","CHEBI:24870","ion"
"2.A.22.3.11","CHEBI:3731","chloride"
"2.A.22.3.11","CHEBI:9175","sodium(1+)"
"2.A.22.3.11","CHEBI:3909","creatine"
"1.C.49.1.2","CHEBI:3731","chloride"
"1.C.49.1.2","CHEBI:3308","calcium(2+)"
"1.C.49.1.2","CHEBI:9175","sodium(1+)"
"1.C.49.1.2","CHEBI:8345","potassium(1+)"
"2.A.38.1.1","CHEBI:8345","potassium(1+)"
"3.A.10.1.8","CHEBI:5584","hydron"
"2.A.73.1.1","CHEBI:17968","butyrate"
"2.A.73.1.1","CHEBI:7980","valeric acid"
"2.A.73.1.1","CHEBI:26666","short-chain fatty acid"
"1.A.8.16.1","CHEBI:5586","hydrogen peroxide"
"1.A.8.16.1","CHEBI:5585","water"
"1.A.8.16.1","CHEBI:7434","ammonia"
"1.A.8.16.1","CHEBI:5143","formamide"
"1.B.13.1.5","CHEBI:25367","molecule"
"1.B.6.1.23","CHEBI:25367","molecule"
"2.A.66.2.7","CHEBI:6494","lipopolysaccharide"
"2.A.67.2.8","CHEBI:38155","phytosiderophore"
"2.A.12.1.17","CHEBI:5584","hydron"
"2.A.12.1.17","CHEBI:3285","CTP"
"2.A.12.1.17","CHEBI:2359","ATP"
"2.A.12.1.17","CHEBI:5234","GTP"
"2.A.12.1.17","CHEBI:9850","UTP"
"4.A.7.1.1","CHEBI:13861","L-ascorbate"
"2.A.26.1.8","CHEBI:22918","branched-chain amino acid"
"3.E.1.6.6","CHEBI:5584","hydron"
"2.A.1.21.2","CHEBI:9474","tetracycline"
"2.A.1.6.4","CHEBI:9175","sodium(1+)"
"2.A.1.6.4","CHEBI:5584","hydron"
"2.A.1.6.4","CHEBI:26272","L-proline betaine"
"2.A.1.6.4","CHEBI:3424","carnitinium"
"2.A.1.6.4","CHEBI:3073","glycine betaine"
"2.A.1.6.4","CHEBI:7077","N,N-dimethylglycine"
"2.A.1.6.4","CHEBI:26271","proline"
"2.A.1.6.4","CHEBI:9406","taurine"
"2.A.1.6.4","CHEBI:17964","pipecolic acid"
"2.A.1.6.4","CHEBI:4756","ectoine"
"2.A.1.6.4","CHEBI:86390","3-pyridylacetic acid"
"1.A.27.1.2","CHEBI:3731","chloride"
"1.C.47.1.6","CHEBI:24870","ion"
"1.C.47.1.6","CHEBI:25367","molecule"
"2.A.96.1.1","CHEBI:30031","succinate(2-)"
"2.A.96.1.1","CHEBI:13704","acetate"
"2.A.96.1.1","CHEBI:24996","lactate"
"2.A.1.1.14","CHEBI:5709","hexose"
"1.G.15.1.1","CHEBI:25367","molecule"
"1.B.63.1.6","CHEBI:3473","cation"
"1.B.63.1.6","CHEBI:5879","imipenem"
"2.A.16.3.1","CHEBI:9344","sulfurous acid"
"1.A.1.20.5","CHEBI:8345","potassium(1+)"
"2.A.1.2.51","CHEBI:3020","benzalkonium chloride"
"2.A.1.2.51","CHEBI:41872","dequalinium"
"2.A.1.2.51","CHEBI:3603","chloramphenicol"
"2.A.1.2.51","CHEBI:87185","florfenicol"
"2.A.1.2.51","CHEBI:32215","thiamphenicol"
"2.A.1.2.51","CHEBI:6953","mitomycin C"
"2.A.1.2.51","CHEBI:42478","ethidium"
"2.A.1.2.51","CHEBI:3614","chlorhexidine"
"1.A.2.1.12","CHEBI:8345","potassium(1+)"
"1.A.2.1.12","CHEBI:49685","potassium(1+)"
"1.A.2.1.12","CHEBI:33495","rubidium(1+)"
"1.A.2.1.12","CHEBI:45725","spermine(4+)"
"1.A.9.7.1","CHEBI:3473","cation"
"3.A.1.17.2","CHEBI:33543","sulfonate"
"9.A.38.1.1","CHEBI:48081","bacteriocin"
"9.A.38.1.1","CHEBI:7961","penicillin"
"9.A.38.1.1","CHEBI:9474","tetracycline"
"9.A.38.1.1","CHEBI:29697","triclosan"
"1.B.17.2.6","CHEBI:25367","molecule"
"1.B.162.1.1","CHEBI:25367","molecule"
"2.A.82.1.1","CHEBI:9408","taurocholic acid"
"2.A.82.1.1","CHEBI:17474","estrone 3-sulfate"
"2.A.82.1.1","CHEBI:8512","prostaglandin E2"
"2.A.82.1.1","CHEBI:4551","digoxin"
"2.A.1.21.22","CHEBI:25106","macrolide"
"2.A.1.21.22","CHEBI:4841","erythromycin A"
"1.A.8.10.7","CHEBI:5585","water"
"1.A.8.10.7","CHEBI:9888","urea"
"1.B.8.1.20","CHEBI:25367","molecule"
"1.A.98.1.1","CHEBI:8345","potassium(1+)"
"9.A.76.1.8","CHEBI:24024","fatty acid"
"2.A.1.28.1","CHEBI:5651","ferroheme b"
"2.A.58.1.1","CHEBI:9175","sodium(1+)"
"2.A.58.1.1","CHEBI:7793","phosphate(3-)"
"1.H.1.1.5","CHEBI:3308","calcium(2+)"
"1.H.1.1.5","CHEBI:6635","magnesium(2+)"
"2.A.41.2.3","CHEBI:9175","sodium(1+)"
"2.A.41.2.3","CHEBI:9893","uridine"
"2.A.41.2.3","CHEBI:5295","gemcitabine"
"1.B.8.2.8","CHEBI:25367","molecule"
"2.A.19.2.8","CHEBI:3308","calcium(2+)"
"2.A.19.2.8","CHEBI:5584","hydron"
"2.A.1.14.18","CHEBI:5584","hydron"
"2.A.1.14.18","CHEBI:14739","pantothenate"
"1.A.32.1.1","CHEBI:24870","ion"
"3.A.1.15.18","CHEBI:27365","zinc ion"
"2.A.66.5.2","CHEBI:82809","agrocin 84"
"3.A.1.134.12","CHEBI:2970","bacitracin"
"3.A.1.134.12","CHEBI:10427","beta-lactam antibiotic"
"3.A.1.134.12","CHEBI:135075","alphaprodine"
"1.C.33.1.9","CHEBI:22563","anion"
"1.A.37.4.1","CHEBI:3308","calcium(2+)"
"9.A.5.2.1","CHEBI:5733","histidine"
"2.A.3.3.10","CHEBI:18019","L-lysine"
"2.A.3.3.10","CHEBI:2643","arginine"
"2.A.3.3.10","CHEBI:5733","histidine"
"3.A.1.5.34","CHEBI:7755","oligopeptide"
"4.C.1.1.5","CHEBI:4984","fatty acid"
"1.A.1.7.3","CHEBI:8345","potassium(1+)"
"1.B.49.1.8","CHEBI:25367","molecule"
"1.A.1.2.18","CHEBI:8345","potassium(1+)"
"1.B.1.1.30","CHEBI:25367","molecule"
"2.A.89.2.1","CHEBI:10545","electron"
"2.A.66.4.3","CHEBI:28300","glutamine"
"1.B.34.3.2","CHEBI:25367","molecule"
"3.A.1.208.29","CHEBI:23888","drug"
"2.A.1.1.49","CHEBI:9840","UDP-sugar"
"2.A.89.3.9","CHEBI:34754","iron(2+)"
"1.B.40.2.5","CHEBI:8526","protein polypeptide chain"
"2.A.79.1.5","CHEBI:5460","glycine"
"2.A.79.1.5","CHEBI:2539","alanine"
"1.A.77.3.16","CHEBI:3473","cation"
"1.B.8.2.7","CHEBI:25367","molecule"
"4.A.3.2.3","CHEBI:50668","N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-aldehydo-D-glucosamine"
"1.A.17.5.6","CHEBI:7793","phosphate(3-)"
"2.A.12.1.16","CHEBI:2342","ADP"
"2.A.12.1.16","CHEBI:2359","ATP"
"1.B.82.1.2","CHEBI:35741","glycerolipid"
"1.C.111.1.6","CHEBI:25367","molecule"
"2.A.18.9.2","CHEBI:33709","amino acid"
"2.A.18.9.2","CHEBI:29016","arginine"
"2.A.21.3.9","CHEBI:5256","galactose"
"1.C.52.1.7","CHEBI:24870","ion"
"4.C.1.1.6","CHEBI:17237","(E)-4-(trimethylammonio)but-2-enoate"
"4.C.1.1.6","CHEBI:3424","carnitinium"
